author,git-repo,name,description,license,type
crickbabs,https://github.com/crickbabs/rnaSeq_byBABS,crickbabs/rnaSeq_byBABS,Nextflow RNA-Seq Analysis Pipeline,,NF
csawye01,https://github.com/csawye01/nf-core-demultiplex,csawye01/nf-core-demultiplex,Demultiplexing pipeline for Illumina data,MIT,NF
csiro-crop-informatics,https://github.com/csiro-crop-informatics/biokanga_align_paper,csiro-crop-informatics/biokanga_align_paper,,,NF
csiro-crop-informatics,https://github.com/csiro-crop-informatics/biokanga-manuscript,csiro-crop-informatics/biokanga-manuscript,Reprodcuble manuscript about biokanga  https://github.com/csiro-crop-informatics/biokanga,GPL-3.0,NF
csiro-crop-informatics,https://github.com/csiro-crop-informatics/nextflow-embl-abr-webinar,csiro-crop-informatics/nextflow-embl-abr-webinar,,Apache-2.0,NF
csiro-crop-informatics,https://github.com/csiro-crop-informatics/reproducible_poc,csiro-crop-informatics/reproducible_poc,,,NF
dalmiaa,https://github.com/dalmiaa/Sample_NF,dalmiaa/Sample_NF,Example pipeline to understand NF.,MIT,NF
danforthcenter,https://github.com/danforthcenter/bioinformatics,danforthcenter/bioinformatics,The Donald Danforth Plant Science Center Bioinformatics Core Facility public repository,MIT,NF
darachm,https://github.com/darachm/nextflow-barnone,darachm/nextflow-barnone,Runs barnone with a nextflow script,,NF
darcyabjones,https://github.com/darcyabjones/snptree,darcyabjones/snptree,A nextflow pipeline to run phylogenetic analyses using SNPs,,NF
davideyre,https://github.com/davideyre/bug-flow,davideyre/bug-flow,,NOASSERTION,NF
davismcc,https://github.com/davismcc/nf-hipsci-fibro,davismcc/nf-hipsci-fibro,,MIT,NF
dfornika,https://github.com/dfornika/cpo-pipeline-nextflow,dfornika/cpo-pipeline-nextflow,,MIT,NF
dfornika,https://github.com/dfornika/nf-core-cpo,dfornika/nf-core-cpo,,MIT,NF
dfornika,https://github.com/dfornika/nf-core-routine-nanopore-processing,dfornika/nf-core-routine-nanopore-processing,,MIT,NF
dggene,https://github.com/dggene/dna,dggene/dna,dna分析流程,Apache-2.0,NF
digitalproteomes,https://github.com/digitalproteomes/NF-CometTPP,digitalproteomes/NF-CometTPP,,,NF
digitalproteomes,https://github.com/digitalproteomes/NF-ConvertThermo,digitalproteomes/NF-ConvertThermo,,,NF
digitalproteomes,https://github.com/digitalproteomes/NF-DIAUmpire,digitalproteomes/NF-DIAUmpire,DIAUmpire workflow,,NF
digitalproteomes,https://github.com/digitalproteomes/NF-PrepareProteinDB,digitalproteomes/NF-PrepareProteinDB,Download and prepare a UniProt fasta database,,NF
digitalproteomes,https://github.com/digitalproteomes/NF-SpectraST,digitalproteomes/NF-SpectraST,,,NF
DIRT-Webplatform,https://github.com/DIRT-Webplatform/dirt2d,DIRT-Webplatform/dirt2d,Workflow for dirt2d,,NF
DoaneAS,https://github.com/DoaneAS/realign.nf,DoaneAS/realign.nf,nextflow pipeline for bam file realignment,,NF
DoaneAS,https://github.com/DoaneAS/rnaflow,DoaneAS/rnaflow,,,NF
Dowell-Lab,https://github.com/Dowell-Lab/Nascent-Flow,Dowell-Lab/Nascent-Flow,Nascent Transcription Processing Pipeline,MIT,NF
drpatelh,https://github.com/drpatelh/nf-core-imcyto,drpatelh/nf-core-imcyto,UNDER CONSTRUCTION: Image Mass Cytometry analysis pipeline,MIT,NF
drpatelh,https://github.com/drpatelh/nf-core-mnaseseq,drpatelh/nf-core-mnaseseq,UNDER CONSTRUCTION: MNase-seq analysis pipeline using BWA and DANPOS2.,MIT,NF
dznetubingen,https://github.com/dznetubingen/hybrid_assembly_hamburg,dznetubingen/hybrid_assembly_hamburg,Hamburg assembly instance for hamburg computer (temporary repo),MIT,NF
ebenz99,https://github.com/ebenz99/MPCM-Nextflow,ebenz99/MPCM-Nextflow,A Nextflow pipeline for the Birtwistle Lab's Mechanistic Pan-Cancer Modeler,,NF
ebi-gene-expression-group,https://github.com/ebi-gene-expression-group/scanpy-workflow,ebi-gene-expression-group/scanpy-workflow,Workflow leveraging the scanpy-scripts package to run Scanpy in a Nextflow workflow,,NF
ebi-gene-expression-group,https://github.com/ebi-gene-expression-group/scxa-aggregation-workflow,ebi-gene-expression-group/scxa-aggregation-workflow,Aggregation component for SCXA workflows,,NF
ebi-gene-expression-group,https://github.com/ebi-gene-expression-group/scxa-bundle-workflow,ebi-gene-expression-group/scxa-bundle-workflow,Workflow for making bundles for Single-cell Expression Atlas,,NF
ebi-gene-expression-group,https://github.com/ebi-gene-expression-group/scxa-smartseq-quantification-workflow,ebi-gene-expression-group/scxa-smartseq-quantification-workflow,The SCXA smart-seq quantification workflow,,NF
ecerami,https://github.com/ecerami/nextflow_sandbox,ecerami/nextflow_sandbox,NextFlow SandBox,,NF
edgano,https://github.com/edgano/TCoffee-NatureProtocol-nf,edgano/TCoffee-NatureProtocol-nf,Tutorial to run the TCoffee Nature Protocol using Nextflow,MIT,NF
epiBioCore,https://github.com/epiBioCore/RNA-Seq-Pipeline,epiBioCore/RNA-Seq-Pipeline,,,NF
ericaenjoy3,https://github.com/ericaenjoy3/rna_nf,ericaenjoy3/rna_nf,Nextflow RNA-seq Pipeline (FastQC  STAR/Tophat Aligner  Sambamba/Samtools  Picard QC  FeatureCounts and Salmon Quantification),,NF
Etjean,https://github.com/Etjean/Long_project,Etjean/Long_project,Nextflow pipeline and Docker integration into Shaman,,NF
evanfloden,https://github.com/evanfloden/embeded-analysis-nf,evanfloden/embeded-analysis-nf,Analysis to determine the effect of the inclusion of more sequences in large MSA,,NF
evanfloden,https://github.com/evanfloden/lncRNA-Annotation-nf,evanfloden/lncRNA-Annotation-nf,A Nextflow lncRNA Annotation Pipeline based on STAR  Cufflinks and FEELnc,,NF
evanfloden,https://github.com/evanfloden/nf-module-demo,evanfloden/nf-module-demo,Demo for Nextflow modules and components proposal,GPL-3.0,NF
evanfloden,https://github.com/evanfloden/shuffle-guidance,evanfloden/shuffle-guidance,Nextflow pipeline for creating shuffle and shuffle + Hot/Guidance/Guidance2 alignments,,NF
evanfloden,https://github.com/evanfloden/sra-dump-nf,evanfloden/sra-dump-nf,Some ideas for pulling experiments directly from the SRA with Nextflow,,NF
evanfloden,https://github.com/evanfloden/tuxedo-nf,evanfloden/tuxedo-nf,A Nextflow implementation of the Tuxedo Suite of Tools: HISAT  StringTie & Ballgown,,NF
evanfloden,https://github.com/evanfloden/vast-tools-nf,evanfloden/vast-tools-nf,A Nextflow Implementation of VAST-TOOLS for profiling alternative splicing events in RNA-Seq data,,NF
evolbioinfo,https://github.com/evolbioinfo/booster-workflows,evolbioinfo/booster-workflows,,,NF
fagnerdias,https://github.com/fagnerdias/ProjetoB,fagnerdias/ProjetoB,,,NF
faithman,https://github.com/faithman/Single_end_mRNAseq-nf,faithman/Single_end_mRNAseq-nf,For single end RNA-seq  quality control,,NF
faithman,https://github.com/faithman/subsample-nf,faithman/subsample-nf,Use seqtk to subsample the RNA-seq data,,NF
fujimuramasa,https://github.com/fujimuramasa/Align,fujimuramasa/Align,,,NF
ganguvamshi,https://github.com/ganguvamshi/nf-fastqdump,ganguvamshi/nf-fastqdump,a nextflow project for converting sra to fastq using fastq-dump,,NF
gaow,https://github.com/gaow/fastqc-nf,gaow/fastqc-nf,A nextflow demo,,NF
gcollet,https://github.com/gcollet/bug_nextflow,gcollet/bug_nextflow,,,NF
gencorefacility,https://github.com/gencorefacility/nf-workflows,gencorefacility/nf-workflows,Repository of NextFlow Workflows,,NF
ggabernet,https://github.com/ggabernet/bcellmagic,ggabernet/bcellmagic,B cell repertoire analysis pipeline.,MIT,NF
gis-rpd,https://github.com/gis-rpd/rpd-rnaseq,gis-rpd/rpd-rnaseq,An RNASeq pipeline,MIT,NF
glormph,https://github.com/glormph/nf-core-dda-quant-proteomics,glormph/nf-core-dda-quant-proteomics,Quant proteomics as practiced at Lehtiö lab for NF-core,MIT,NF
gnetsanet,https://github.com/gnetsanet/crispedit,gnetsanet/crispedit,Nextflow pipeline for inference of CRISPR edits from NGS (Amplicon Sequencing) data,MIT,NF
grbot,https://github.com/grbot/bioinftk,grbot/bioinftk,Some bioinformatics helpers,MIT,NF
grbot,https://github.com/grbot/nf-core-example,grbot/nf-core-example,nf-core template test,MIT,NF
grbot,https://github.com/grbot/run-fastqc,grbot/run-fastqc,Nextflow pipeline to test Singularity and SLURM for H3ABioNet GWAS workshop 2018,MIT,NF
Gregor-Mendel-Institute,https://github.com/Gregor-Mendel-Institute/bam2fastq_nextflow,Gregor-Mendel-Institute/bam2fastq_nextflow,,,NF
Gregor-Mendel-Institute,https://github.com/Gregor-Mendel-Institute/isoseq3,Gregor-Mendel-Institute/isoseq3,,,NF
Gregor-Mendel-Institute,https://github.com/Gregor-Mendel-Institute/kWIP-nf,Gregor-Mendel-Institute/kWIP-nf,A nextflow pipeline to estimate sample (dis)similarity using kWIP,MIT,NF
guigolab,https://github.com/guigolab/chip-nf,guigolab/chip-nf,An automated ChIP-seq pipeline using Nextfow,,NF
guigolab,https://github.com/guigolab/sambamBench-nf,guigolab/sambamBench-nf,A simple Nextflow pipeline for testing the performance of sambamba vs samtools,LGPL-3.0,NF
Gustius,https://github.com/Gustius/MOFA,Gustius/MOFA,,MIT,NF
h3abionet,https://github.com/h3abionet/chipimputation,h3abionet/chipimputation,Genotype Imputation Pipeline for H3Africa,MIT,NF
h3abionet,https://github.com/h3abionet/recalling,h3abionet/recalling,Scripts for recalling several available datasets. The final output will be used by different H3A projects  e.g. ADME  refpanel.,MIT,NF
HadrienG,https://github.com/HadrienG/2018_coral_16S,HadrienG/2018_coral_16S,,,NF
HadrienG,https://github.com/HadrienG/nanoflow,HadrienG/nanoflow,:microscope: De novo assembly of nanopore reads using nextflow,GPL-3.0,NF
HadrienG,https://github.com/HadrienG/nextflow_prokka,HadrienG/nextflow_prokka,,GPL-3.0,NF
Hammarn,https://github.com/Hammarn/Popolipo,Hammarn/Popolipo,,MIT,NF
hclimente,https://github.com/hclimente/gwas-tools,hclimente/gwas-tools,🛠️ Short pipelines to deal with GWAS data.,,NF
hclimente,https://github.com/hclimente/miallma,hclimente/miallma,👻Transcriptomic analysis of recurrent leukemias.,,NF
hclimente,https://github.com/hclimente/nori,hclimente/nori,🍙 Block HSIC Lasso: laboratory notebook.,,NF
hdzierz,https://github.com/hdzierz/bioinf_Russell_genome,hdzierz/bioinf_Russell_genome,,,NF
heinzlab,https://github.com/heinzlab/chip-seq-pipeline,heinzlab/chip-seq-pipeline,Heinz lab ChIP-seq pipeline using Nextflow + Singularity,,NF
heinzlab,https://github.com/heinzlab/csrna,heinzlab/csrna,Heinz lab csRNA-seq pipeline using Nextflow + Singularity,,NF
heinzlab,https://github.com/heinzlab/smrna-seq-pipeline,heinzlab/smrna-seq-pipeline,Heinz lab smRNA-seq pipeline using Nextflow + Singularity,,NF
HelenCousins,https://github.com/HelenCousins/nextflow,HelenCousins/nextflow,,,NF
herobd,https://github.com/herobd/forms_annotations,herobd/forms_annotations,Annotations for form images from National Archive.,,NF
heuermh,https://github.com/heuermh/bdg-nextflow,heuermh/bdg-nextflow,Workflows implemented via Nextflow.,Apache-2.0,NF
hivana,https://github.com/hivana/b-method-exercises,hivana/b-method-exercises,:notebook: Notes and exercises from B-Method textbook,MIT,NF
hmkim,https://github.com/hmkim/workflow,hmkim/workflow,Workflow in bioinformatics,,NF
HPCBio,https://github.com/HPCBio/16S-rDNA-dada2-pipeline,HPCBio/16S-rDNA-dada2-pipeline,dada2 Nextflow pipeline,MIT,NF
HugoMananet,https://github.com/HugoMananet/Nextflow_Samtools_VarScan,HugoMananet/Nextflow_Samtools_VarScan,Nextflow pipeline using containerized tools,,NF
HugoMananet,https://github.com/HugoMananet/Nextflow_Samtools-merge_gatk4-mutect2,HugoMananet/Nextflow_Samtools-merge_gatk4-mutect2,Nextflow pipeline using containerized tools,,NF
HugoMananet,https://github.com/HugoMananet/SegMuVar,HugoMananet/SegMuVar,,,NF
huguesfontenelle,https://github.com/huguesfontenelle/bug_exit_signal,huguesfontenelle/bug_exit_signal,,,NF
huguesfontenelle,https://github.com/huguesfontenelle/bug_nextflow_projectDir,huguesfontenelle/bug_nextflow_projectDir,,,NF
huguesfontenelle,https://github.com/huguesfontenelle/nextflow-bug-config,huguesfontenelle/nextflow-bug-config,,,NF
IARCbioinfo,https://github.com/IARCbioinfo/conpair-nf,IARCbioinfo/conpair-nf,Nextflow pipeline for Conpair (concordance and contamination estimator),,NF
IARCbioinfo,https://github.com/IARCbioinfo/gatk4-DataPreProcessing-nf,IARCbioinfo/gatk4-DataPreProcessing-nf,Nextflow pipeline for pre-process BAM(s) with hg38 and GATK4,GPL-3.0,NF
IARCbioinfo,https://github.com/IARCbioinfo/gatk4-GenotypeGVCFs-nf,IARCbioinfo/gatk4-GenotypeGVCFs-nf,Joint calling of gVCF  following GATK4 Best Practices,GPL-3.0,NF
IARCbioinfo,https://github.com/IARCbioinfo/gatk4-HaplotypeCaller-nf,IARCbioinfo/gatk4-HaplotypeCaller-nf,GATK4 HaplotypeCaller step  in gVCF mode  first step for subsequent whole cohort Joint Genotyping.,GPL-3.0,NF
IARCbioinfo,https://github.com/IARCbioinfo/nf_coverage_demo,IARCbioinfo/nf_coverage_demo,Nextflow demo plotting mean coverage over a series of BAM files,GPL-3.0,NF
IARCbioinfo,https://github.com/IARCbioinfo/NGSCheckMate,IARCbioinfo/NGSCheckMate,Nextflow pipeline to detect matched BAMs with NGSCheckMate,GPL-3.0,NF
IARCbioinfo,https://github.com/IARCbioinfo/PostAlignment-nf,IARCbioinfo/PostAlignment-nf,,GPL-3.0,NF
IARCbioinfo,https://github.com/IARCbioinfo/svaba-nf,IARCbioinfo/svaba-nf,,GPL-3.0,NF
IARCbioinfo,https://github.com/IARCbioinfo/TCGA_platypus-nf,IARCbioinfo/TCGA_platypus-nf,nextflow pipeline to build annovar-ready tables from platypus TCGA calling,GPL-3.0,NF
ikmb-denbi,https://github.com/ikmb-denbi/genome-annotation,ikmb-denbi/genome-annotation,,MIT,NF
ImaneLboukili,https://github.com/ImaneLboukili/WGS_analysis,ImaneLboukili/WGS_analysis,,,NF
inab,https://github.com/inab/RDConnect_RNASeq,inab/RDConnect_RNASeq,RDConnect RNASeq,,NF
inab,https://github.com/inab/TCGA_benchmarking_workflow,inab/TCGA_benchmarking_workflow,,LGPL-2.1,NF
InformaticsMatters,https://github.com/InformaticsMatters/docking-validation,InformaticsMatters/docking-validation,Validation studies for docking related studies,,NF
InformaticsMatters,https://github.com/InformaticsMatters/nextflow-kube,InformaticsMatters/nextflow-kube,,,NF
Insomnia-Team,https://github.com/Insomnia-Team/Catraca-B,Insomnia-Team/Catraca-B,A B method adaptation of a real world access system of a university restaurant,,NF
J35P312,https://github.com/J35P312/TayWhale,J35P312/TayWhale,RNA-seq pipeline,,NF
Japillow,https://github.com/Japillow/B-method-Project,Japillow/B-method-Project,,,NF
jemten,https://github.com/jemten/mt_snv_gatk4,jemten/mt_snv_gatk4,Call mitochondrial variants from bam file using haplotypecaller from GATK4,MIT,NF
jguhlin,https://github.com/jguhlin/gf-targeted-prediction,jguhlin/gf-targeted-prediction,Targeted gene family prediction using AUGSTUS-PPX  Nextflow  exonerate  etc...,BSD-3-Clause,NF
jguhlin,https://github.com/jguhlin/SameSpeciesLiftover_nf,jguhlin/SameSpeciesLiftover_nf,Same Species Liftover pipeline implemented in Nextflow,BSD-3-Clause,NF
jianhong,https://github.com/jianhong/ATACseqQCnextflow,jianhong/ATACseqQCnextflow,pipeline for ATACseqQC,GPL-3.0,NF
jianhong,https://github.com/jianhong/MintChIP,jianhong/MintChIP,pipeline for MintChIP,,NF
JWDebler,https://github.com/JWDebler/2018-10-15-annotations,JWDebler/2018-10-15-annotations,Annotation scripts for several ascochyta isolates,,NF
JWDebler,https://github.com/JWDebler/nf-assembly,JWDebler/nf-assembly,Assembly and basic annotation of Illumina short reads,,NF
JWDebler,https://github.com/JWDebler/nf-augustus_with_RNASeq,JWDebler/nf-augustus_with_RNASeq,,,NF
JWDebler,https://github.com/JWDebler/nf-busco,JWDebler/nf-busco,,,NF
JWDebler,https://github.com/JWDebler/nf-genomeCoverage,JWDebler/nf-genomeCoverage,,,NF
JWDebler,https://github.com/JWDebler/nf-occultercut,JWDebler/nf-occultercut,compare and plot GC content of genomes,,NF
JWDebler,https://github.com/JWDebler/nf-repeats,JWDebler/nf-repeats,annotate repeats,,NF
kerimoff,https://github.com/kerimoff/qtlquant,kerimoff/qtlquant,pipeline repo for qtlquant,MIT,NF
KevinMenden,https://github.com/KevinMenden/hybrid-assembly,KevinMenden/hybrid-assembly,Pipeline for hybrid assembly using short and long reads.,MIT,NF
KevinMenden,https://github.com/KevinMenden/nf-cageseq,KevinMenden/nf-cageseq,Nextflow CAGE-seq pipeline,MIT,NF
KevinMenden,https://github.com/KevinMenden/tf-activity,KevinMenden/tf-activity,Workflow to identify active transcription factors from CAGE-seq data.,MIT,NF
